epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.209,2.66465,4.30708,2.05381,0.0027,0.29493,0.00119,0.00044,2.5256,3.71927,1.95957,0.000467673,0.000467673,0.000467673
2,172.371,2.47317,3.37386,1.81598,0.69582,0.02258,0.04186,0.01274,2.38722,3.47083,1.77123,0.000925315,0.000925315,0.000925315
3,185.625,2.38002,3.08091,1.805,0.23281,0.05756,0.08257,0.0269,2.6582,3.63469,1.93884,0.00136409,0.00136409,0.00136409
4,198.353,2.41517,2.97056,1.85138,0.25753,0.11532,0.07045,0.02637,2.54281,3.4404,2.00637,0.00134412,0.00134412,0.00134412
5,209.447,2.30861,2.79711,1.81882,0.07544,0.1377,0.06566,0.02592,2.53788,4.09435,2.05907,0.00131582,0.00131582,0.00131582
6,221.717,2.31106,2.72853,1.79246,0.30337,0.08515,0.11648,0.04367,2.44896,3.44298,1.84731,0.00128753,0.00128753,0.00128753
7,234.784,2.28684,2.62708,1.74967,0.21268,0.13913,0.12943,0.04225,2.51986,2.92636,2.01509,0.00125923,0.00125923,0.00125923
8,247.344,2.22143,2.54391,1.7484,0.22126,0.15749,0.11782,0.04087,2.53655,3.12173,1.88737,0.00123094,0.00123094,0.00123094
9,260.008,2.19858,2.51617,1.72273,0.30127,0.18491,0.15901,0.05427,2.44924,2.68918,1.87891,0.00120265,0.00120265,0.00120265
10,272.569,2.22736,2.4413,1.73652,0.23103,0.23333,0.177,0.06594,2.48512,2.83792,1.94372,0.00117435,0.00117435,0.00117435
11,284.716,2.13586,2.36805,1.64544,0.26622,0.23549,0.19642,0.08137,2.34989,2.84709,1.78097,0.00114606,0.00114606,0.00114606
12,297.514,2.11818,2.33874,1.67739,0.2691,0.15652,0.14843,0.05918,2.40476,3.09648,1.86769,0.00111776,0.00111776,0.00111776
13,310.029,2.08183,2.27264,1.64779,0.31,0.18003,0.15314,0.05113,2.34893,2.85549,1.85378,0.00108947,0.00108947,0.00108947
14,322.485,2.05557,2.18978,1.66571,0.3003,0.21614,0.1903,0.0691,2.47447,2.8124,2.01355,0.00106118,0.00106118,0.00106118
15,334.968,2.10196,2.16802,1.65044,0.25579,0.21918,0.19126,0.06501,2.36074,2.71715,1.84785,0.00103288,0.00103288,0.00103288
16,346.238,2.07137,2.17104,1.62079,0.21718,0.21619,0.13528,0.04682,2.37638,2.94241,1.85009,0.00100459,0.00100459,0.00100459
17,357.759,2.03801,2.11622,1.59374,0.29072,0.23766,0.17705,0.05895,2.36125,2.68248,1.79713,0.000976293,0.000976293,0.000976293
18,370.179,2.00988,2.06655,1.55089,0.29723,0.21671,0.17838,0.06829,2.35946,2.8106,1.76921,0.000947999,0.000947999,0.000947999
19,382.579,2.0224,2.04708,1.57454,0.27681,0.28234,0.18826,0.06561,2.36504,2.8359,1.773,0.000919704,0.000919704,0.000919704
20,394.969,1.99456,2.02825,1.57541,0.32088,0.24155,0.17517,0.06231,2.37968,2.77034,1.79927,0.00089141,0.00089141,0.00089141
21,405.989,2.01185,2.06342,1.57842,0.27053,0.26941,0.19709,0.07215,2.36288,2.56178,1.82808,0.000863116,0.000863116,0.000863116
22,417.654,2.02462,1.94225,1.56191,0.29737,0.27438,0.19421,0.06814,2.52289,2.95598,1.93946,0.000834822,0.000834822,0.000834822
